epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1301,1.49292,1.40488,1.5921,0.67474,0.66748,0.71271,0.38213,1.65268,1.25471,1.74893,0.000329114,0.000329114,0.000329114
2,21.4946,1.26553,1.07691,1.40326,0.60546,0.6925,0.7034,0.36016,1.66064,1.2449,1.74906,0.000649331,0.000649331,0.000649331
3,30.5968,1.3072,1.16698,1.44489,0.5793,0.64295,0.62962,0.32332,1.71016,1.41942,1.79226,0.000956348,0.000956348,0.000956348
4,39.6848,1.31757,1.17309,1.45841,0.60161,0.64112,0.63094,0.32716,1.69701,1.55378,1.79861,0.0009406,0.0009406,0.0009406
5,48.7605,1.32515,1.17812,1.46138,0.64775,0.67268,0.69237,0.367,1.59186,1.42567,1.70132,0.0009208,0.0009208,0.0009208
6,57.9295,1.3332,1.19651,1.4664,0.60477,0.67699,0.70018,0.36654,1.66526,1.31098,1.75936,0.000901,0.000901,0.000901
7,67.188,1.30527,1.18331,1.44439,0.68369,0.68053,0.71733,0.39476,1.57775,1.233,1.69042,0.0008812,0.0008812,0.0008812
8,76.4493,1.28837,1.163,1.43662,0.58518,0.67092,0.6672,0.34467,1.67481,1.41976,1.72594,0.0008614,0.0008614,0.0008614
9,85.721,1.30319,1.1934,1.44711,0.62564,0.64803,0.67954,0.36482,1.64352,1.38054,1.711,0.0008416,0.0008416,0.0008416
10,94.9899,1.30837,1.20677,1.45315,0.6845,0.6765,0.69321,0.36856,1.63724,1.37495,1.74717,0.0008218,0.0008218,0.0008218
11,104.326,1.27756,1.15581,1.43128,0.63616,0.61119,0.65211,0.34558,1.68648,1.42255,1.79003,0.000802,0.000802,0.000802
12,113.624,1.25969,1.15838,1.41365,0.65191,0.65593,0.67613,0.35794,1.65383,1.41202,1.77828,0.0007822,0.0007822,0.0007822
13,122.818,1.24743,1.11753,1.40401,0.6296,0.60522,0.6448,0.33396,1.68758,1.45451,1.76728,0.0007624,0.0007624,0.0007624
14,131.929,1.24193,1.09253,1.39,0.72225,0.66394,0.73113,0.40086,1.57531,1.24135,1.69713,0.0007426,0.0007426,0.0007426
15,141.122,1.23234,1.11051,1.3881,0.61002,0.63712,0.68423,0.38298,1.54306,1.37615,1.70875,0.0007228,0.0007228,0.0007228
16,150.394,1.28533,1.18892,1.42446,0.67813,0.6318,0.68586,0.36583,1.6363,1.41317,1.71211,0.000703,0.000703,0.000703
17,159.615,1.27394,1.16198,1.42523,0.69428,0.66303,0.73448,0.40179,1.56222,1.27746,1.65572,0.0006832,0.0006832,0.0006832
18,168.767,1.24792,1.1058,1.40667,0.62039,0.6834,0.68951,0.36762,1.62255,1.3118,1.72232,0.0006634,0.0006634,0.0006634
19,177.923,1.24087,1.11311,1.40271,0.67662,0.69449,0.72375,0.3998,1.53778,1.24286,1.65391,0.0006436,0.0006436,0.0006436
20,187.147,1.20695,1.07411,1.36368,0.68052,0.64634,0.6994,0.37106,1.62821,1.35459,1.73177,0.0006238,0.0006238,0.0006238
21,196.219,1.2417,1.12379,1.38807,0.65406,0.67009,0.70182,0.37643,1.61168,1.37677,1.72626,0.000604,0.000604,0.000604
22,205.3,1.221,1.08227,1.37783,0.69055,0.68743,0.73918,0.40467,1.56351,1.23814,1.68671,0.0005842,0.0005842,0.0005842
23,214.54,1.22023,1.1104,1.39689,0.61876,0.66081,0.70115,0.38919,1.53291,1.29498,1.69854,0.0005644,0.0005644,0.0005644
24,223.602,1.21726,1.06935,1.37372,0.624,0.74835,0.73473,0.41198,1.53354,1.20514,1.64453,0.0005446,0.0005446,0.0005446
25,232.709,1.18867,1.05188,1.36313,0.65198,0.67459,0.70466,0.38321,1.58769,1.23808,1.70157,0.0005248,0.0005248,0.0005248
26,241.837,1.19461,1.05974,1.35796,0.65401,0.71493,0.74854,0.41456,1.55128,1.21203,1.66064,0.000505,0.000505,0.000505
27,251.023,1.17046,1.02233,1.35134,0.70419,0.6804,0.73984,0.41156,1.49166,1.18166,1.63682,0.0004852,0.0004852,0.0004852
28,260.309,1.18187,1.0421,1.35673,0.6504,0.7352,0.75083,0.42242,1.53684,1.17552,1.62826,0.0004654,0.0004654,0.0004654
29,269.418,1.16972,1.00984,1.33498,0.65906,0.717,0.73972,0.41367,1.52616,1.17837,1.66587,0.0004456,0.0004456,0.0004456
30,278.575,1.16408,1.00117,1.34495,0.6921,0.6938,0.73021,0.4054,1.54792,1.1803,1.66096,0.0004258,0.0004258,0.0004258
31,287.766,1.1578,0.99581,1.33535,0.67045,0.69095,0.72495,0.39865,1.57414,1.21862,1.70417,0.000406,0.000406,0.000406
32,296.972,1.14834,0.98592,1.33551,0.72878,0.68944,0.75333,0.43111,1.51253,1.15984,1.63343,0.0003862,0.0003862,0.0003862
33,306.125,1.13154,0.97827,1.32623,0.69484,0.69613,0.72906,0.4129,1.55824,1.19533,1.7089,0.0003664,0.0003664,0.0003664
34,315.207,1.12842,0.96049,1.32352,0.68553,0.70725,0.73467,0.41878,1.51399,1.17145,1.6426,0.0003466,0.0003466,0.0003466
35,324.387,1.12266,0.96647,1.31904,0.66396,0.72006,0.73991,0.42067,1.52374,1.17254,1.65752,0.0003268,0.0003268,0.0003268
36,333.552,1.11428,0.95649,1.31515,0.68696,0.71984,0.74515,0.42264,1.53701,1.17278,1.66593,0.000307,0.000307,0.000307
37,342.8,1.0969,0.93235,1.30141,0.72356,0.6981,0.75111,0.42091,1.56147,1.17584,1.6664,0.0002872,0.0002872,0.0002872
38,351.933,1.11452,0.95735,1.31081,0.68313,0.69172,0.73812,0.41454,1.54508,1.17233,1.66733,0.0002674,0.0002674,0.0002674
39,361.062,1.10655,0.92105,1.31136,0.70567,0.71272,0.74193,0.4202,1.54284,1.16546,1.64383,0.0002476,0.0002476,0.0002476
40,370.139,1.09632,0.93193,1.29551,0.68977,0.70879,0.74573,0.42534,1.51271,1.1235,1.6496,0.0002278,0.0002278,0.0002278
41,402.606,1.1103,0.90225,1.34985,0.67207,0.70218,0.72396,0.41232,1.52887,1.15156,1.68821,0.000208,0.000208,0.000208
