epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,384.052,1.28328,1.22722,1.44564,0.64115,0.67326,0.69384,0.37489,1.55348,1.39557,1.67778,0.0005941,0.0005941,0.0005941
43,393.117,1.28365,1.2584,1.45077,0.62929,0.6922,0.71369,0.39017,1.52917,1.33648,1.65895,0.0005842,0.0005842,0.0005842
44,402.184,1.27716,1.26503,1.45164,0.61847,0.68732,0.71614,0.39185,1.53023,1.33151,1.66701,0.0005743,0.0005743,0.0005743
45,411.266,1.28763,1.2282,1.44386,0.57704,0.67524,0.67224,0.35626,1.58596,1.40078,1.69222,0.0005644,0.0005644,0.0005644
46,420.351,1.3004,1.25519,1.4516,0.66181,0.71404,0.73321,0.39714,1.55394,1.297,1.66634,0.0005545,0.0005545,0.0005545
47,429.389,1.28742,1.23028,1.45225,0.61105,0.73279,0.73516,0.3925,1.52537,1.28098,1.66192,0.0005446,0.0005446,0.0005446
48,438.426,1.25881,1.19191,1.44181,0.639,0.68543,0.71099,0.39742,1.52246,1.29929,1.65395,0.0005347,0.0005347,0.0005347
49,447.478,1.24469,1.18482,1.40922,0.63405,0.72602,0.72111,0.39834,1.48294,1.30137,1.65641,0.0005248,0.0005248,0.0005248
50,456.556,1.24692,1.18984,1.42292,0.65079,0.69363,0.73819,0.41202,1.5238,1.26224,1.6373,0.0005149,0.0005149,0.0005149
51,465.631,1.25024,1.20061,1.43092,0.64619,0.68806,0.73351,0.4201,1.45898,1.28412,1.61701,0.000505,0.000505,0.000505
52,474.731,1.24921,1.19088,1.42479,0.6798,0.72023,0.74707,0.41296,1.49509,1.28748,1.62283,0.0004951,0.0004951,0.0004951
53,483.857,1.26894,1.19612,1.42506,0.68376,0.68652,0.72462,0.39838,1.53046,1.29307,1.68247,0.0004852,0.0004852,0.0004852
54,493.014,1.26287,1.19419,1.4321,0.68614,0.70483,0.73417,0.42051,1.48172,1.25288,1.646,0.0004753,0.0004753,0.0004753
55,502.123,1.21861,1.14507,1.40321,0.63579,0.69526,0.72018,0.39797,1.5297,1.2621,1.65145,0.0004654,0.0004654,0.0004654
56,511.23,1.22445,1.13589,1.40831,0.68274,0.69017,0.73808,0.41395,1.50519,1.2584,1.6477,0.0004555,0.0004555,0.0004555
57,520.293,1.24786,1.16158,1.41953,0.67847,0.70612,0.74361,0.41554,1.4861,1.26579,1.63903,0.0004456,0.0004456,0.0004456
58,529.386,1.2429,1.16543,1.42471,0.68176,0.66782,0.72096,0.39702,1.55149,1.27083,1.65627,0.0004357,0.0004357,0.0004357
59,538.479,1.2154,1.12943,1.40148,0.6437,0.70309,0.73246,0.41848,1.46126,1.25125,1.62493,0.0004258,0.0004258,0.0004258
60,547.534,1.23265,1.11923,1.3975,0.6625,0.72105,0.74064,0.41349,1.51211,1.2245,1.64213,0.0004159,0.0004159,0.0004159
61,556.607,1.21568,1.11899,1.39541,0.65918,0.7164,0.74182,0.39528,1.60784,1.27801,1.66687,0.000406,0.000406,0.000406
62,565.756,1.25831,1.14066,1.41908,0.65115,0.69533,0.72196,0.40556,1.50804,1.27403,1.67109,0.0003961,0.0003961,0.0003961
63,574.811,1.20333,1.11682,1.39335,0.69635,0.6936,0.74218,0.43139,1.46459,1.20588,1.60294,0.0003862,0.0003862,0.0003862
64,583.875,1.19938,1.1081,1.38355,0.63521,0.71629,0.72906,0.41401,1.46945,1.23138,1.61696,0.0003763,0.0003763,0.0003763
65,592.904,1.19244,1.0819,1.36869,0.66711,0.72058,0.74543,0.43807,1.46152,1.19536,1.62728,0.0003664,0.0003664,0.0003664
66,601.998,1.1877,1.09215,1.38885,0.67789,0.68845,0.72155,0.41602,1.49238,1.23603,1.65079,0.0003565,0.0003565,0.0003565
67,611.057,1.19466,1.08139,1.38188,0.6821,0.70155,0.74471,0.42415,1.49709,1.19567,1.6194,0.0003466,0.0003466,0.0003466
68,620.118,1.1706,1.052,1.36751,0.68934,0.70029,0.74675,0.41847,1.52649,1.20534,1.65263,0.0003367,0.0003367,0.0003367
69,629.17,1.17166,1.06623,1.36801,0.66452,0.7119,0.74515,0.43552,1.46401,1.18611,1.61878,0.0003268,0.0003268,0.0003268
70,638.222,1.18743,1.07803,1.37125,0.65672,0.71903,0.7348,0.41983,1.45717,1.21329,1.60571,0.0003169,0.0003169,0.0003169
71,647.345,1.17965,1.04068,1.3645,0.6757,0.71637,0.75129,0.43186,1.46119,1.20005,1.61625,0.000307,0.000307,0.000307
72,656.397,1.16619,1.03294,1.35401,0.70525,0.66964,0.7327,0.42069,1.48695,1.20245,1.63205,0.0002971,0.0002971,0.0002971
73,665.494,1.17248,1.06038,1.3606,0.69616,0.71981,0.75486,0.42991,1.47179,1.20254,1.64619,0.0002872,0.0002872,0.0002872
74,674.675,1.16815,1.03498,1.36102,0.68165,0.69626,0.72222,0.41799,1.46162,1.17068,1.64523,0.0002773,0.0002773,0.0002773
75,683.846,1.14657,1.00287,1.33891,0.68168,0.71968,0.7465,0.43416,1.47247,1.17461,1.63279,0.0002674,0.0002674,0.0002674
76,692.97,1.15833,1.03579,1.35742,0.68834,0.72903,0.74966,0.42711,1.47812,1.17722,1.63353,0.0002575,0.0002575,0.0002575
77,702.009,1.14567,1.00972,1.3499,0.69053,0.72258,0.74502,0.42525,1.47057,1.18769,1.63506,0.0002476,0.0002476,0.0002476
78,711.092,1.15231,1.01031,1.35344,0.70823,0.7045,0.75972,0.42856,1.48979,1.15868,1.63294,0.0002377,0.0002377,0.0002377
79,720.16,1.12818,1.00134,1.33712,0.70639,0.70889,0.74889,0.43134,1.46499,1.17893,1.61683,0.0002278,0.0002278,0.0002278
80,729.265,1.13773,1.00188,1.34704,0.69729,0.7233,0.75263,0.43483,1.4885,1.18709,1.62446,0.0002179,0.0002179,0.0002179
81,738.331,1.14491,1.0216,1.34213,0.68918,0.69618,0.73477,0.41939,1.49073,1.19316,1.62258,0.000208,0.000208,0.000208
82,747.411,1.15145,1.02051,1.34496,0.66711,0.71717,0.73916,0.41957,1.48605,1.16921,1.62211,0.0001981,0.0001981,0.0001981
83,756.472,1.14176,1.00779,1.34129,0.70574,0.70419,0.75604,0.43399,1.46597,1.1443,1.62616,0.0001882,0.0001882,0.0001882
84,765.524,1.11352,0.96317,1.31982,0.68789,0.7243,0.75508,0.43824,1.45189,1.14553,1.61607,0.0001783,0.0001783,0.0001783
85,774.625,1.11402,0.9651,1.32519,0.69142,0.71526,0.7557,0.43986,1.47478,1.13951,1.62888,0.0001684,0.0001684,0.0001684
86,783.67,1.12518,1.00128,1.33666,0.65436,0.72587,0.7564,0.43286,1.51166,1.1581,1.64969,0.0001585,0.0001585,0.0001585
87,792.725,1.09782,0.95559,1.3153,0.69261,0.74477,0.76089,0.4357,1.49266,1.1563,1.64789,0.0001486,0.0001486,0.0001486
88,801.813,1.10209,0.96071,1.32162,0.68939,0.71419,0.75391,0.43677,1.4769,1.13757,1.64607,0.0001387,0.0001387,0.0001387
89,810.943,1.09933,0.95348,1.31449,0.71092,0.70309,0.75405,0.43617,1.47271,1.13833,1.6487,0.0001288,0.0001288,0.0001288
90,819.988,1.09905,0.93824,1.31621,0.66818,0.72649,0.75713,0.44279,1.45029,1.13656,1.62972,0.0001189,0.0001189,0.0001189
91,853.8,1.10718,0.92435,1.35093,0.70306,0.72067,0.75535,0.43596,1.48534,1.13177,1.65911,0.000109,0.000109,0.000109
92,862.976,1.09413,0.88018,1.34253,0.68388,0.73552,0.76709,0.43749,1.4538,1.14246,1.62767,9.91e-05,9.91e-05,9.91e-05
93,872.251,1.06555,0.87919,1.33727,0.68919,0.71385,0.75152,0.43658,1.48316,1.14297,1.6531,8.92e-05,8.92e-05,8.92e-05
94,881.68,1.06453,0.84818,1.33531,0.74543,0.69146,0.76358,0.43998,1.46006,1.12632,1.65101,7.93e-05,7.93e-05,7.93e-05
95,891.033,1.04189,0.84424,1.31494,0.67133,0.74182,0.75962,0.44138,1.4941,1.13243,1.65257,6.94e-05,6.94e-05,6.94e-05
96,901.224,1.04274,0.82176,1.32049,0.67432,0.7445,0.75926,0.4468,1.45944,1.12022,1.65166,5.95e-05,5.95e-05,5.95e-05
97,911.997,1.03467,0.81846,1.32111,0.69939,0.73377,0.75583,0.44331,1.47301,1.12588,1.65705,4.96e-05,4.96e-05,4.96e-05
98,922.86,1.04176,0.81183,1.30533,0.71235,0.708,0.76284,0.44378,1.48077,1.12797,1.65629,3.97e-05,3.97e-05,3.97e-05
99,932.975,1.02671,0.80835,1.29984,0.71206,0.70324,0.76632,0.44585,1.45838,1.11615,1.6446,2.98e-05,2.98e-05,2.98e-05
100,942.95,1.01369,0.80734,1.30128,0.6956,0.72453,0.76597,0.44595,1.46888,1.10962,1.65131,1.99e-05,1.99e-05,1.99e-05
