epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,216.133,1.18184,1.00319,1.34391,0.70452,0.71218,0.74908,0.41186,1.55334,1.19174,1.69461,0.0005446,0.0005446,0.0005446
25,225.013,1.17834,1.01814,1.35351,0.68517,0.71164,0.7185,0.39088,1.58607,1.25874,1.69401,0.0005248,0.0005248,0.0005248
26,233.96,1.17066,1.02527,1.34399,0.69759,0.65355,0.72178,0.40198,1.56398,1.24002,1.69236,0.000505,0.000505,0.000505
27,242.936,1.15686,0.98916,1.34025,0.64738,0.69845,0.71587,0.3803,1.62532,1.24707,1.72277,0.0004852,0.0004852,0.0004852
28,251.786,1.16778,1.0132,1.34659,0.7051,0.69726,0.7425,0.41066,1.5752,1.19899,1.69281,0.0004654,0.0004654,0.0004654
29,260.779,1.162,0.97641,1.32585,0.68111,0.73235,0.75196,0.41639,1.51168,1.19267,1.64342,0.0004456,0.0004456,0.0004456
30,269.683,1.15902,0.96004,1.33956,0.72525,0.67766,0.72137,0.40379,1.56007,1.20781,1.68404,0.0004258,0.0004258,0.0004258
31,278.58,1.13295,0.95596,1.32033,0.69185,0.72239,0.7452,0.41748,1.49791,1.16704,1.63916,0.000406,0.000406,0.000406
32,287.502,1.14154,0.96382,1.32357,0.69187,0.69568,0.72733,0.40874,1.52435,1.1536,1.66468,0.0003862,0.0003862,0.0003862
33,296.628,1.14504,0.96927,1.32934,0.69423,0.69109,0.72488,0.41122,1.5577,1.17191,1.70419,0.0003664,0.0003664,0.0003664
33,11.7727,1.15373,0.99972,1.33585,0.70431,0.71863,0.73974,0.41514,1.52815,1.16866,1.66175,0.0003664,0.0003664,0.0003664
34,20.6996,1.0988,0.91104,1.28425,0.7107,0.70124,0.74569,0.41291,1.54191,1.14451,1.67141,0.0003466,0.0003466,0.0003466
35,29.5548,1.08502,0.91748,1.28565,0.69426,0.73533,0.74301,0.42037,1.5445,1.16152,1.68331,0.0003268,0.0003268,0.0003268
36,38.4421,1.09249,0.8919,1.28222,0.71246,0.71496,0.74602,0.4247,1.51926,1.1657,1.67138,0.000307,0.000307,0.000307
37,47.3206,1.08319,0.89488,1.28064,0.6805,0.73212,0.74363,0.41876,1.53812,1.14306,1.6675,0.0002872,0.0002872,0.0002872
38,56.2761,1.07873,0.90178,1.28842,0.70514,0.7153,0.74597,0.41954,1.53849,1.14643,1.68512,0.0002674,0.0002674,0.0002674
39,65.2813,1.09105,0.89068,1.2917,0.7217,0.71765,0.74312,0.42092,1.51518,1.12179,1.67638,0.0002476,0.0002476,0.0002476
40,74.3062,1.06249,0.87654,1.27787,0.70961,0.69871,0.73467,0.41836,1.50797,1.1301,1.69685,0.0002278,0.0002278,0.0002278
41,108.872,1.11177,0.87713,1.34248,0.69564,0.72189,0.73343,0.4068,1.55373,1.13162,1.71684,0.000208,0.000208,0.000208
42,117.982,1.07837,0.83714,1.32448,0.71149,0.6953,0.74178,0.41383,1.53837,1.11496,1.6932,0.0001882,0.0001882,0.0001882
43,127.082,1.0496,0.80376,1.32196,0.68495,0.7246,0.73848,0.41288,1.55533,1.11785,1.70962,0.0001684,0.0001684,0.0001684
44,136.119,1.02048,0.762,1.28651,0.72996,0.72208,0.75124,0.42636,1.52809,1.10004,1.70407,0.0001486,0.0001486,0.0001486
45,145.231,0.99841,0.75439,1.26472,0.71665,0.74362,0.75887,0.42284,1.53791,1.09771,1.7068,0.0001288,0.0001288,0.0001288
46,154.393,1.00704,0.75103,1.27611,0.73747,0.73281,0.76884,0.43525,1.51907,1.09129,1.6878,0.000109,0.000109,0.000109
47,163.554,0.99192,0.75109,1.2683,0.71041,0.74393,0.7582,0.43387,1.50352,1.09646,1.68655,8.92e-05,8.92e-05,8.92e-05
48,172.686,0.99904,0.72818,1.2718,0.7272,0.73797,0.75894,0.43311,1.51613,1.08847,1.68913,6.94e-05,6.94e-05,6.94e-05
49,181.868,0.98532,0.73121,1.27196,0.73725,0.71885,0.76307,0.43861,1.50896,1.08573,1.6913,4.96e-05,4.96e-05,4.96e-05
50,191.111,0.98059,0.7181,1.26297,0.77471,0.7045,0.76321,0.438,1.5107,1.08897,1.68766,2.98e-05,2.98e-05,2.98e-05
