epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9691,1.29627,1.07543,1.40597,0.68463,0.70332,0.7459,0.4129,1.55054,1.1927,1.65406,0.000329114,0.000329114,0.000329114
2,21.0215,1.22545,1.00644,1.34208,0.61511,0.66377,0.67661,0.36971,1.61537,1.31578,1.75126,0.000649331,0.000649331,0.000649331
3,29.731,1.26721,1.09784,1.38193,0.53925,0.59986,0.58428,0.29247,1.80676,1.54369,1.83592,0.000956348,0.000956348,0.000956348
4,38.4591,1.31308,1.16187,1.40719,0.57117,0.64821,0.64899,0.34133,1.68365,1.46142,1.76924,0.0009406,0.0009406,0.0009406
5,47.14,1.2957,1.15161,1.40897,0.50961,0.52605,0.5328,0.25563,1.86413,1.7508,1.85622,0.0009208,0.0009208,0.0009208
6,55.8667,1.30928,1.19004,1.43007,0.6573,0.6371,0.67479,0.35364,1.65095,1.41925,1.73607,0.000901,0.000901,0.000901
7,64.687,1.30583,1.17195,1.41966,0.60129,0.61802,0.65765,0.34303,1.65502,1.43614,1.79553,0.0008812,0.0008812,0.0008812
8,73.5637,1.28143,1.14528,1.4007,0.63749,0.70515,0.72415,0.37313,1.57628,1.33147,1.67513,0.0008614,0.0008614,0.0008614
9,82.4719,1.28022,1.14457,1.41225,0.6617,0.67282,0.70013,0.37759,1.60204,1.32077,1.7166,0.0008416,0.0008416,0.0008416
10,91.4596,1.29656,1.15132,1.41722,0.67883,0.65749,0.70485,0.38767,1.56388,1.29038,1.69096,0.0008218,0.0008218,0.0008218
11,100.425,1.26437,1.1215,1.39681,0.67835,0.66366,0.72188,0.39672,1.57974,1.27166,1.70766,0.000802,0.000802,0.000802
12,109.374,1.28042,1.15975,1.40441,0.68866,0.64854,0.69484,0.38397,1.55945,1.30576,1.71641,0.0007822,0.0007822,0.0007822
13,118.21,1.26194,1.13183,1.40404,0.61633,0.64096,0.65116,0.3322,1.67662,1.43368,1.775,0.0007624,0.0007624,0.0007624
14,127.14,1.26033,1.10893,1.39596,0.65932,0.65008,0.69671,0.36387,1.69151,1.37852,1.78583,0.0007426,0.0007426,0.0007426
15,135.959,1.23604,1.09782,1.38502,0.65017,0.65469,0.6975,0.37281,1.60684,1.32146,1.71623,0.0007228,0.0007228,0.0007228
16,144.802,1.28138,1.12262,1.41233,0.687,0.66351,0.71826,0.38524,1.59933,1.25056,1.7276,0.000703,0.000703,0.000703
17,153.682,1.23841,1.09921,1.39135,0.63198,0.68885,0.70345,0.39246,1.55604,1.28446,1.6981,0.0006832,0.0006832,0.0006832
18,162.607,1.22206,1.07705,1.40003,0.64851,0.67972,0.70897,0.39012,1.5712,1.25376,1.71317,0.0006634,0.0006634,0.0006634
19,171.569,1.21973,1.05034,1.38207,0.70364,0.63204,0.71221,0.38238,1.61425,1.30019,1.71968,0.0006436,0.0006436,0.0006436
20,180.543,1.2122,1.06293,1.3678,0.71014,0.66109,0.70805,0.39379,1.59122,1.26634,1.71249,0.0006238,0.0006238,0.0006238
21,189.415,1.20716,1.05415,1.36301,0.71037,0.68372,0.73177,0.40052,1.59183,1.23855,1.72979,0.000604,0.000604,0.000604
22,198.325,1.19609,1.03849,1.36286,0.70262,0.70307,0.73368,0.39696,1.59306,1.25953,1.7044,0.0005842,0.0005842,0.0005842
23,207.217,1.19357,1.04198,1.3655,0.69135,0.72388,0.76231,0.42536,1.51138,1.19323,1.66504,0.0005644,0.0005644,0.0005644
