entropy_rank_low_to_high,layer,module,shape,samples,channels,height,width,activation_elements,mean_entropy,std_entropy,min_entropy,max_entropy,hardware_cost_proxy,cost_entropy_ratio
1,21,C2f,1x256x20x20,64,256,20,20,102400,5.6949663162231445,0.8312978148460388,2.5051581859588623,7.394654750823975,102400,17980.79116083532
2,18,C2f,1x128x40x40,64,128,40,40,204800,6.043127536773682,0.9239917397499084,2.220869541168213,7.620203018188477,204800,33889.73652363774
3,15,C2f,1x64x80x80,64,64,80,80,409600,6.179062843322754,0.984083890914917,2.2046306133270264,7.411958694458008,409600,66288.36935080274
4,12,C2f,1x128x40x40,64,128,40,40,204800,6.265172004699707,0.8054582476615906,2.62890887260437,7.727660179138184,204800,32688.647629526044
